target_l1,target_l2,target_l3,matched_l2,matched_l3,confidence,method_used,top_3_candidates,reasoning
IT Hardware,"Telephony, Data Lines & Communication Services",Landline telephony,TELECOM,TELECOM & CONTACT INFRASTRUCTURE,0.5861508424923078,similarity_search,"[{""l2"": ""TELECOM"", ""l3"": ""TELECOM & CONTACT INFRASTRUCTURE"", ""score"": 0.0, ""definition"": ""Includes base stations, PBX equipment for contact centers and even IP telephony and other contact center / collaboration infrastructure""}, {""l2"": ""TELECOM"", ""l3"": ""NETWORK INFRASTRUCTURE"", ""score"": 0.0, ""definition"": ""Hardware resources of an entire network that enables network connectivity, communication, operations and management Includes wireless access points, routers, firewalls, switches, etc""}, {""l2"": ""TELECOM"", ""l3"": ""VOICE & DATA SERVICES"", ""score"": 0.0, ""definition"": ""Internet access and the data transmission technologies: dial-up, DSL, cable modem, or dedicated high-speed interconnects. Also includes communication methods such as internet email accounts, voice and streaming television services. The services and service combinations may be unique to each service provider (aka - ISP).""}]","Includes base stations, PBX equipment for contact centers and even IP telephony and other contact center / collaboration infrastructure"
IT Hardware,"Telephony, Data Lines & Communication Services",Mobile connectivity,TELECOM,WIRELESS,0.5408474109536622,similarity_search,"[{""l2"": ""TELECOM"", ""l3"": ""WIRELESS"", ""score"": 0.0, ""definition"": ""Wireless data and cell phone service providers""}, {""l2"": ""TELECOM"", ""l3"": ""TELECOM & CONTACT INFRASTRUCTURE"", ""score"": 0.0, ""definition"": ""Includes base stations, PBX equipment for contact centers and even IP telephony and other contact center / collaboration infrastructure""}, {""l2"": ""TELECOM"", ""l3"": ""MOBILE DEVICE MANAGEMENT"", ""score"": 0.0, ""definition"": ""Mobile device management (MDM) is software that allows IT administrators to control, secure and enforce policies on smartphones, tablets and other endpoints""}]",Wireless data and cell phone service providers
Media & Marketing,Content Production,External Content Creation,MEDIA PRODUCTION,MEDIA PRODUCTION,0.5577810268924212,similarity_search,"[{""l2"": ""MEDIA PRODUCTION"", ""l3"": ""MEDIA PRODUCTION"", ""score"": 0.0, ""definition"": ""Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects.""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""STOCK MEDIA"", ""score"": 0.0, ""definition"": ""Pre-produced images or videos available for purchase""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - CONTENT & EXPERIENCE"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on content and experience""}]","Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects."
Media & Marketing,Content Production,Other Content Production,MEDIA PRODUCTION,MEDIA PRODUCTION,0.6250536888773812,similarity_search,"[{""l2"": ""MEDIA PRODUCTION"", ""l3"": ""MEDIA PRODUCTION"", ""score"": 0.0, ""definition"": ""Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects.""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""STOCK MEDIA"", ""score"": 0.0, ""definition"": ""Pre-produced images or videos available for purchase""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - CONTENT & EXPERIENCE"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on content and experience""}]","Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects."
Media & Marketing,Content Production,Production Equipment,MEDIA PRODUCTION,MEDIA PRODUCTION,0.6199427557128102,similarity_search,"[{""l2"": ""MEDIA PRODUCTION"", ""l3"": ""MEDIA PRODUCTION"", ""score"": 0.0, ""definition"": ""Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects.""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""STOCK MEDIA"", ""score"": 0.0, ""definition"": ""Pre-produced images or videos available for purchase""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""SET BUILDING"", ""score"": 0.0, ""definition"": ""Sets and staging used to create the look and feel of photo shoots, videos, etc.""}]","Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects."
Media & Marketing,Content Production,Production Location,MEDIA PRODUCTION,MEDIA PRODUCTION,0.61700040990107,similarity_search,"[{""l2"": ""MEDIA PRODUCTION"", ""l3"": ""MEDIA PRODUCTION"", ""score"": 0.0, ""definition"": ""Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects.""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""SET BUILDING"", ""score"": 0.0, ""definition"": ""Sets and staging used to create the look and feel of photo shoots, videos, etc.""}, {""l2"": ""MEDIA PRODUCTION"", ""l3"": ""STOCK MEDIA"", ""score"": 0.0, ""definition"": ""Pre-produced images or videos available for purchase""}]","Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects."
Media & Marketing,Creative Agencies & Campaign Production,nan,IT HARDWARE / INFRASTRUCTURE,CONSUMER ELECTRONICS VENDOR,0.5063549868637482,similarity_search,"[{""l2"": ""IT HARDWARE / INFRASTRUCTURE"", ""l3"": ""CONSUMER ELECTRONICS VENDOR"", ""score"": 0.0, ""definition"": ""nan""}, {""l2"": ""AGENCIES"", ""l3"": ""ADVERTISING AGENCIES"", ""score"": 0.0, ""definition"": ""Agencies / businesses dedicated to creating, planning, and handling advertising for its clients. This includes both the thinking / ideation behind the ads, as well as the strategic placement of those ads to achieve optimal audience impact and reach.""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - ADVERTISING & PROMOTIONS"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on advertising and promotions""}]",nan
Media & Marketing,Event Management,Event Catering,FOOD SERVICES,FOOD SERVICES,0.5676392155553821,similarity_search,"[{""l2"": ""FOOD SERVICES"", ""l3"": ""FOOD SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services focused on corporate cafeterias or in office catering""}, {""l2"": ""AGENCIES"", ""l3"": ""EVENTS AGENCIES"", ""score"": 0.0, ""definition"": ""Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively.""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT EXHIBITS & DISPLAYS"", ""score"": 0.0, ""definition"": ""Physical marketing tools used to attract consumer attention and interest""}]",Food service management services focused on corporate cafeterias or in office catering
Media & Marketing,Event Management,Event Locations,AGENCIES,EVENTS AGENCIES,0.5192478895187526,similarity_search,"[{""l2"": ""AGENCIES"", ""l3"": ""EVENTS AGENCIES"", ""score"": 0.0, ""definition"": ""Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively.""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT EXHIBITS & DISPLAYS"", ""score"": 0.0, ""definition"": ""Physical marketing tools used to attract consumer attention and interest""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT SPACE & RENTALS"", ""score"": 0.0, ""definition"": ""Working with companies that rent and sell various furniture, equipment, and d\u00e9cor required for the execution of an event. This may also include the renting of space at a hotel, banquet hall, or other location for the purpose of hosting an event.""}]","Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively."
Media & Marketing,Event Management,Event Management & Production Services,AGENCIES,EVENTS AGENCIES,0.5480729014830139,similarity_search,"[{""l2"": ""AGENCIES"", ""l3"": ""EVENTS AGENCIES"", ""score"": 0.0, ""definition"": ""Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively.""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""CONSTRUCTION PROJECT MANAGEMENT"", ""score"": 0.0, ""definition"": ""Construction management services""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - ADVERTISING & PROMOTIONS"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on advertising and promotions""}]","Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively."
Media & Marketing,Event Management,Internal Events,AGENCIES,EVENTS AGENCIES,0.5180146651233041,similarity_search,"[{""l2"": ""AGENCIES"", ""l3"": ""EVENTS AGENCIES"", ""score"": 0.0, ""definition"": ""Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively.""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT EXHIBITS & DISPLAYS"", ""score"": 0.0, ""definition"": ""Physical marketing tools used to attract consumer attention and interest""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""SPEAKERS & ENTERTAINMENT"", ""score"": 0.0, ""definition"": ""Individuals invited to present, speak, or host / emcee an event""}]","Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively."
Media & Marketing,Event Management,Other event services,AGENCIES,EVENTS AGENCIES,0.5359113769636935,similarity_search,"[{""l2"": ""AGENCIES"", ""l3"": ""EVENTS AGENCIES"", ""score"": 0.0, ""definition"": ""Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively.""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT EXHIBITS & DISPLAYS"", ""score"": 0.0, ""definition"": ""Physical marketing tools used to attract consumer attention and interest""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""CONSTRUCTION PROJECT MANAGEMENT"", ""score"": 0.0, ""definition"": ""Construction management services""}]","Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively."
Media & Marketing,Event Management,Technical Event Equipment,EVENTS & CONFERENCES,EVENT EXHIBITS & DISPLAYS,0.5489809139044457,similarity_search,"[{""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT EXHIBITS & DISPLAYS"", ""score"": 0.0, ""definition"": ""Physical marketing tools used to attract consumer attention and interest""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - ADVERTISING & PROMOTIONS"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on advertising and promotions""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT SPACE & RENTALS"", ""score"": 0.0, ""definition"": ""Working with companies that rent and sell various furniture, equipment, and d\u00e9cor required for the execution of an event. This may also include the renting of space at a hotel, banquet hall, or other location for the purpose of hosting an event.""}]",Physical marketing tools used to attract consumer attention and interest
Media & Marketing,External Workforce - Art Buying,Other Art Buying,WORKING MEDIA,WORKING MEDIA,0.5305956565623731,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MARKETING SERVICES"", ""l3"": ""FREELANCERS"", ""score"": 0.0, ""definition"": ""Self-employed workers performing contracted labor for a temporary employer""}, {""l2"": ""TRAVEL MANAGEMENT"", ""l3"": ""TRAVEL MANAGEMENT"", ""score"": 0.0, ""definition"": ""External travel agency and/or booking tool used to manage travel needs""}]",Purchasing advertising spots directly from a media source or website
Media & Marketing,Influencer Marketing,nan,MARKETING SERVICES,INFLUENCER MARKETING,0.5721236637867653,similarity_search,"[{""l2"": ""MARKETING SERVICES"", ""l3"": ""INFLUENCER MARKETING"", ""score"": 0.0, ""definition"": ""The use of product mentions or endorsements from individuals who have a dedicated social following and are viewed as experts in their niche to promote a product or service.""}, {""l2"": ""IT HARDWARE / INFRASTRUCTURE"", ""l3"": ""CONSUMER ELECTRONICS VENDOR"", ""score"": 0.0, ""definition"": ""nan""}, {""l2"": ""MAR TECH"", ""l3"": ""MAR TECH - SOCIAL & RELATIONSHIPS"", ""score"": 0.0, ""definition"": ""Marketing technology services focused on social and relationships""}]",The use of product mentions or endorsements from individuals who have a dedicated social following and are viewed as experts in their niche to promote a product or service.
Media & Marketing,Media Buying Offline,D(OOH),WORKING MEDIA,WORKING MEDIA - OUTDOOR ADVERTISING,0.7037878069687912,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - OUTDOOR ADVERTISING"", ""score"": 0.0, ""definition"": ""Outdoor advertising, or out-of-home (OOH) media, includes billboards, transit ads, digital signage, and street furniture displays. It targets audiences in public spaces to increase brand visibility and reinforce campaigns. With advances in digital OOH, advertisers can deliver dynamic, location-based messaging and track performance. Outdoor media offers broad reach and high impact, particularly for local and brand-awareness initiatives.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}]","Outdoor advertising, or out-of-home (OOH) media, includes billboards, transit ads, digital signage, and street furniture displays. It targets audiences in public spaces to increase brand visibility and reinforce campaigns. With advances in digital OOH, advertisers can deliver dynamic, location-based messaging and track performance. Outdoor media offers broad reach and high impact, particularly for local and brand-awareness initiatives."
Media & Marketing,Media Buying Offline,Digital Radio,WORKING MEDIA,WORKING MEDIA - RADIO ADVERTISING,0.6560240573911782,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - RADIO ADVERTISING"", ""score"": 0.0, ""definition"": ""Radio advertising uses audio messages broadcast via AM/FM, satellite, or streaming radio to promote products or services. It targets listeners based on geography, demographics, and listening habits. With strong local reach and frequency, radio ads build brand recall and drive action. Digital radio and podcast integrations enhance measurability and engagement, offering advertisers dynamic and cost-effective audience reach.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}]","Radio advertising uses audio messages broadcast via AM/FM, satellite, or streaming radio to promote products or services. It targets listeners based on geography, demographics, and listening habits. With strong local reach and frequency, radio ads build brand recall and drive action. Digital radio and podcast integrations enhance measurability and engagement, offering advertisers dynamic and cost-effective audience reach."
Media & Marketing,Media Buying Offline,Digital TV,WORKING MEDIA,WORKING MEDIA - TV ADVERTISING (LINEAR / OTT),0.6301527962316295,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - TV ADVERTISING (LINEAR / OTT)"", ""score"": 0.0, ""definition"": ""TV advertising includes traditional linear TV spots and digital streaming ads via OTT (Over-The-Top) platforms like Hulu, Roku, or YouTube TV. Linear TV provides broad audience reach, while OTT offers precise targeting, interactivity, and performance analytics. Both formats enhance brand awareness and storytelling through high-impact visuals. Modern campaigns often blend traditional and digital TV buys for maximum effectiveness across screens.""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}]","TV advertising includes traditional linear TV spots and digital streaming ads via OTT (Over-The-Top) platforms like Hulu, Roku, or YouTube TV. Linear TV provides broad audience reach, while OTT offers precise targeting, interactivity, and performance analytics. Both formats enhance brand awareness and storytelling through high-impact visuals. Modern campaigns often blend traditional and digital TV buys for maximum effectiveness across screens."
Media & Marketing,Media Buying Offline,Other Media Buying Offline,WORKING MEDIA,WORKING MEDIA,0.6431168126131194,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Media planning is determining the optimal combination of media to achieve objectives. Media buying is the procurement of media space and time for displaying advertising content, including negotiating with individual media owners (such as broadcasters or publishers) over availability and price. This subcategory includes agencies that support one or both of those functions.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - OUTDOOR ADVERTISING"", ""score"": 0.0, ""definition"": ""Outdoor advertising, or out-of-home (OOH) media, includes billboards, transit ads, digital signage, and street furniture displays. It targets audiences in public spaces to increase brand visibility and reinforce campaigns. With advances in digital OOH, advertisers can deliver dynamic, location-based messaging and track performance. Outdoor media offers broad reach and high impact, particularly for local and brand-awareness initiatives.""}]",Purchasing advertising spots directly from a media source or website
Media & Marketing,Media Buying Offline,Print Ads,WORKING MEDIA,WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL),0.6432604364467187,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL)"", ""score"": 0.0, ""definition"": ""Advertising in print and digital publications includes placing brand messages in newspapers, magazines, newsletters, or online editorial outlets. This medium provides credibility and audience segmentation through trusted content environments. Digital publications extend reach via sponsored articles and native placements, while print ads support brand visibility in niche markets. Combined, they deliver multi-channel exposure and measurable audience engagement.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""COMMERCIAL PRINT"", ""l3"": ""DIRECT MAIL"", ""score"": 0.0, ""definition"": ""Print (flyers, postcards brochures, etc) or data processing / list management of materials shared with customers and prospective customers""}]","Advertising in print and digital publications includes placing brand messages in newspapers, magazines, newsletters, or online editorial outlets. This medium provides credibility and audience segmentation through trusted content environments. Digital publications extend reach via sponsored articles and native placements, while print ads support brand visibility in niche markets. Combined, they deliver multi-channel exposure and measurable audience engagement."
Media & Marketing,Media Buying Offline,Radio,WORKING MEDIA,WORKING MEDIA - RADIO ADVERTISING,0.6402891874313537,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - RADIO ADVERTISING"", ""score"": 0.0, ""definition"": ""Radio advertising uses audio messages broadcast via AM/FM, satellite, or streaming radio to promote products or services. It targets listeners based on geography, demographics, and listening habits. With strong local reach and frequency, radio ads build brand recall and drive action. Digital radio and podcast integrations enhance measurability and engagement, offering advertisers dynamic and cost-effective audience reach.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Media planning is determining the optimal combination of media to achieve objectives. Media buying is the procurement of media space and time for displaying advertising content, including negotiating with individual media owners (such as broadcasters or publishers) over availability and price. This subcategory includes agencies that support one or both of those functions.""}]","Radio advertising uses audio messages broadcast via AM/FM, satellite, or streaming radio to promote products or services. It targets listeners based on geography, demographics, and listening habits. With strong local reach and frequency, radio ads build brand recall and drive action. Digital radio and podcast integrations enhance measurability and engagement, offering advertisers dynamic and cost-effective audience reach."
Media & Marketing,Media Buying Offline,TV,WORKING MEDIA,WORKING MEDIA,0.6232189320008542,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - TV ADVERTISING (LINEAR / OTT)"", ""score"": 0.0, ""definition"": ""TV advertising includes traditional linear TV spots and digital streaming ads via OTT (Over-The-Top) platforms like Hulu, Roku, or YouTube TV. Linear TV provides broad audience reach, while OTT offers precise targeting, interactivity, and performance analytics. Both formats enhance brand awareness and storytelling through high-impact visuals. Modern campaigns often blend traditional and digital TV buys for maximum effectiveness across screens.""}, {""l2"": ""MEDIA BUY"", ""l3"": ""MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Media planning is determining the optimal combination of media to achieve objectives. Media buying is the procurement of media space and time for displaying advertising content, including negotiating with individual media owners (such as broadcasters or publishers) over availability and price. This subcategory includes agencies that support one or both of those functions.""}]",Purchasing advertising spots directly from a media source or website
Media & Marketing,Media Buying Online,Affiliate,AFFILIATE MARKETING,AFFILIATES,0.6597625023339014,similarity_search,"[{""l2"": ""AFFILIATE MARKETING"", ""l3"": ""AFFILIATES"", ""score"": 0.0, ""definition"": ""Companies utilizing third-party marketing services""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""AFFILIATE MARKETING"", ""l3"": ""AFFILIATE PLATFORMS"", ""score"": 0.0, ""definition"": ""Connector or intermediary between merchants and marketing affiliates""}]",Companies utilizing third-party marketing services
Media & Marketing,Media Buying Online,Direct Deals,WORKING MEDIA,WORKING MEDIA,0.7127263333581145,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}, {""l2"": ""MEDIA BUY"", ""l3"": ""MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Media planning is determining the optimal combination of media to achieve objectives. Media buying is the procurement of media space and time for displaying advertising content, including negotiating with individual media owners (such as broadcasters or publishers) over availability and price. This subcategory includes agencies that support one or both of those functions.""}]",Purchasing advertising spots directly from a media source or website
Media & Marketing,Media Buying Online,Paid Social Media,WORKING MEDIA,WORKING MEDIA - PAID SOCIAL,0.7294131517410278,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - PAID SOCIAL"", ""score"": 0.0, ""definition"": ""Paid social media involves running sponsored ads across social platforms like Facebook, Instagram, LinkedIn, TikTok, and X (Twitter). These campaigns target audiences based on demographics, interests, and behaviors to increase awareness, engagement, or conversions. Paid social allows for precise targeting, creative testing, and real-time performance analytics. It complements organic content strategies and helps brands reach new audiences efficiently through data-driven advertising.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}]","Paid social media involves running sponsored ads across social platforms like Facebook, Instagram, LinkedIn, TikTok, and X (Twitter). These campaigns target audiences based on demographics, interests, and behaviors to increase awareness, engagement, or conversions. Paid social allows for precise targeting, creative testing, and real-time performance analytics. It complements organic content strategies and helps brands reach new audiences efficiently through data-driven advertising."
Media & Marketing,Media Buying Online,Programmatic Display,WORKING MEDIA,WORKING MEDIA - DISPLAY,0.6574166621317481,similarity_search,"[{""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA - DISPLAY"", ""score"": 0.0, ""definition"": ""Display media refers to digital advertisements presented on websites, apps, or social platforms in the form of banners, videos, or interactive graphics. It helps brands build awareness and drive traffic through targeted impressions and retargeting campaigns. Managed through programmatic platforms, display media allows advertisers to reach specific audiences at scale using data-driven optimization and real-time bidding.""}, {""l2"": ""WORKING MEDIA"", ""l3"": ""WORKING MEDIA"", ""score"": 0.0, ""definition"": ""Purchasing advertising spots directly from a media source or website""}, {""l2"": ""MEDIA BUY"", ""l3"": ""DIGITAL MEDIA BUYING & PLANNING"", ""score"": 0.0, ""definition"": ""Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing.""}]","Display media refers to digital advertisements presented on websites, apps, or social platforms in the form of banners, videos, or interactive graphics. It helps brands build awareness and drive traffic through targeted impressions and retargeting campaigns. Managed through programmatic platforms, display media allows advertisers to reach specific audiences at scale using data-driven optimization and real-time bidding."
Media & Marketing,Print services,Branded/Printed Items,PROMOTIONS,PROMOTIONAL PRODUCTS,0.6566461929697295,similarity_search,"[{""l2"": ""PROMOTIONS"", ""l3"": ""PROMOTIONAL PRODUCTS"", ""score"": 0.0, ""definition"": ""Items that are branded with a logo and used in marketing and communication programs""}, {""l2"": ""COMMERCIAL PRINT"", ""l3"": ""COMMERCIAL PRINT"", ""score"": 0.0, ""definition"": ""Printing products for business use""}, {""l2"": ""PRINT SUPPLIES"", ""l3"": ""PRINTING SUPPLIES"", ""score"": 0.0, ""definition"": ""Resources and services that help create printed materials""}]",Items that are branded with a logo and used in marketing and communication programs
