,CATEGORY L2,CATEGORY L3,DEFINITION
INFORMATION TECHNOLOGY,SOFTWARE,"CUSTOMER ENGAGEMENT, CX & MARTECH","Customer engagement, customer experience (CX), and marketing technology (MarTech) solutions help businesses attract, retain, and understand customers through data-driven insights. These tools include personalization engines, campaign automation, analytics dashboards, and omnichannel communication platforms. They enable targeted marketing, consistent brand experiences, and improved conversion rates. By integrating CX and MarTech, organizations can optimize customer journeys and loyalty across digital and physical touchpoints."
INFORMATION TECHNOLOGY,SOFTWARE,"DATA INTEGRATION, MIGRATION & MGMT","Data integration, migration, and management services connect, transfer, and organize data across systems and platforms. Integration ensures seamless data flow between applications; migration handles movement between environments (e.g., on-premises to cloud); and management oversees governance, quality, and storage. These processes enable organizations to maintain accuracy, security, and accessibility of data while supporting analytics, compliance, and operational efficiency."
INFORMATION TECHNOLOGY,SOFTWARE,DOCUMENT READER & ESIGNATURE,"Document reader and eSignature solutions streamline document processing, sharing, and authorization. Document readers support secure viewing, conversion, and OCR (optical character recognition), while eSignature tools enable legally binding digital signatures. These solutions reduce paper use, accelerate approval workflows, and improve auditability. They integrate with CRM, ERP, and cloud platforms to support remote collaboration and compliance with e-signing regulations like ESIGN and eIDAS."
INFORMATION TECHNOLOGY,SOFTWARE,EMAIL SECURITY,"Email security solutions protect organizations from phishing, spam, malware, and unauthorized access. They include encryption, filtering, authentication protocols (SPF, DKIM, DMARC), and threat detection. These systems safeguard sensitive communications, prevent data loss, and ensure regulatory compliance. Advanced platforms use AI and behavioral analytics to identify suspicious activity and automate incident response. Email security is critical to protecting users and preventing cyber breaches."
INFORMATION TECHNOLOGY,SOFTWARE,EPP & EDR,"Endpoint Protection Platforms (EPP) and Endpoint Detection and Response (EDR) are cybersecurity technologies that safeguard devices like laptops, servers, and mobile phones. EPP provides prevention through antivirus, firewall, and device control, while EDR focuses on detecting and responding to active threats. Combined, they deliver comprehensive visibility, behavior monitoring, and automated remediation to reduce cyber risks and maintain enterprise security posture."
INFORMATION TECHNOLOGY,SOFTWARE,EVENT PLANNING SOFTWARE,"Event planning software helps individuals and organizations manage conferences, trade shows, meetings, and other events. It streamlines scheduling, registration, vendor coordination, budgeting, and attendee engagement. Many platforms offer analytics, mobile apps, and integration with CRM or marketing systems. Event planners use these tools to improve efficiency, ensure smooth logistics, and deliver personalized attendee experiences both online and in-person."
INFORMATION TECHNOLOGY,SOFTWARE,FILE TRANSFER & DOCUMENT MGMT,"File transfer and document management systems enable secure sharing, storage, and organization of digital files. These tools support version control, access permissions, and encryption to maintain data integrity. They facilitate collaboration across teams while ensuring compliance with data protection regulations. Advanced solutions integrate with business applications and automate workflows to improve productivity and reduce risks associated with manual file handling."
INFORMATION TECHNOLOGY,SOFTWARE,FLEET INTELLIGENCE & MGMT,"Fleet intelligence and management systems use telematics, GPS, and data analytics to monitor vehicle performance, driver behavior, and logistics operations. They help reduce fuel costs, improve safety, and optimize routing. These systems provide real-time insights on vehicle health, maintenance scheduling, and compliance reporting. By centralizing data, they enable data-driven decision-making for more efficient and sustainable fleet operations."
INFORMATION TECHNOLOGY,SOFTWARE,GEOSPATIAL TECH,"Geospatial technology involves tools and systems that collect, analyze, and visualize geographic and spatial data. This includes GPS, GIS (Geographic Information Systems), remote sensing, and mapping applications. Geospatial solutions help organizations make location-based decisions in fields like urban planning, logistics, agriculture, and environmental monitoring. They enable users to track assets, analyze terrain, and visualize data on digital maps to improve efficiency, safety, and strategic planning."
INFORMATION TECHNOLOGY,SOFTWARE,HCM & PAYROLL SOLUTIONS,"Human Capital Management (HCM) and payroll solutions manage employee information, compensation, benefits, and compliance processes. These systems automate payroll processing, time tracking, onboarding, and performance management. HCM software often includes analytics and self-service portals to improve employee engagement and administrative efficiency. By integrating HR and payroll functions, organizations ensure accuracy, regulatory compliance, and a seamless employee experience from hire to retirement."
INFORMATION TECHNOLOGY,SOFTWARE,IDAM & AUTHENTICATION TECH,"Identity and Access Management (IDAM) and authentication technologies secure digital identities and control user access to systems and data. They include single sign-on (SSO), multi-factor authentication (MFA), privilege management, and directory services. These tools reduce unauthorized access risks, support compliance, and enhance user convenience. Modern IDAM solutions integrate with cloud and hybrid environments, providing centralized visibility and governance over identity lifecycles."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - CITY PLANNING,"City planning software supports urban planners, engineers, and government agencies in designing, analyzing, and managing municipal infrastructure and land use. It includes tools for zoning analysis, traffic modeling, environmental assessment, and GIS-based mapping. These solutions improve decision-making, sustainability, and community engagement by visualizing the impact of projects and aligning them with long-term development goals."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - GOVERNMENT & PUBLIC SECTOR,"Government and public sector software enhances transparency, efficiency, and service delivery across agencies. Solutions include case management, citizen portals, grant administration, and data analytics. These platforms streamline workflows, improve communication, and ensure compliance with public policy and regulations. They support digital transformation initiatives that modernize government operations and strengthen public trust."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - HEALTHCARE,"Healthcare industry software includes electronic health records (EHR), telemedicine platforms, and medical billing systems that manage patient data, care coordination, and compliance. These tools improve clinical workflows, patient engagement, and regulatory adherence (HIPAA, HL7). Advanced healthcare software leverages AI, analytics, and interoperability standards to enhance outcomes, optimize resources, and drive value-based care delivery."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - LEGAL SERVICES,"Legal industry software helps law firms and corporate legal departments manage cases, documents, billing, and compliance. It includes practice management systems, contract lifecycle management (CLM), and eDiscovery platforms. These tools improve efficiency, collaboration, and transparency while ensuring secure handling of sensitive client data. Automation and analytics capabilities also support better decision-making and workload management."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - MANUFACTURING,"Manufacturing industry software includes ERP, MES (Manufacturing Execution Systems), and quality control platforms that manage production planning, supply chain logistics, and process optimization. These tools enhance efficiency, reduce downtime, and ensure product consistency. Integrating IoT and predictive analytics enables real-time visibility into operations, helping manufacturers improve output, reduce waste, and adapt to demand fluctuations."
INFORMATION TECHNOLOGY,SOFTWARE,INDUSTRY SOFTWARE - TRANSPORTATION,"Transportation industry software supports logistics, routing, fleet tracking, and regulatory compliance for carriers and shippers. It includes TMS (Transportation Management Systems), dispatch solutions, and route optimization tools. These platforms improve asset utilization, reduce operational costs, and enhance delivery accuracy. They often integrate with telematics, GPS, and IoT systems for real-time visibility and predictive maintenance."
INFORMATION TECHNOLOGY,SOFTWARE,IoT SOFTWARE,"Internet of Things (IoT) software connects, manages, and analyzes data from networked devices, sensors, and machines. It enables automation, monitoring, and predictive insights across industries such as manufacturing, logistics, and smart cities. IoT platforms handle device provisioning, communication protocols, and data visualization, helping organizations optimize efficiency, safety, and resource management through connected ecosystems."
INFORMATION TECHNOLOGY,SOFTWARE,IT & CYBER SECURITY TRAINING,"IT and cybersecurity training programs build workforce skills in network defense, threat analysis, ethical hacking, and compliance. These programs include certifications (CISSP, CompTIA, CEH), simulations, and hands-on labs. They prepare professionals to identify and mitigate cyber threats effectively. Organizations invest in training to strengthen security posture, reduce human error, and ensure adherence to industry standards and regulations."
INFORMATION TECHNOLOGY,SOFTWARE,LMS & TRAINING SOLUTIONS,"Learning Management Systems (LMS) and training solutions enable organizations to deliver, track, and manage educational programs and employee development. They support e-learning, certifications, and performance analytics. Modern LMS platforms offer mobile access, personalization, and integration with HR systems. These solutions enhance workforce skills, compliance readiness, and engagement through structured and scalable learning experiences."
INFORMATION TECHNOLOGY,SOFTWARE,MDR & SECURITY SERVICES,"Managed Detection and Response (MDR) services provide 24/7 monitoring, threat detection, and incident response for cybersecurity operations. MDR providers use advanced analytics, AI, and human expertise to identify and neutralize threats in real time. Services include continuous network visibility, forensics, and rapid containment. MDR helps organizations maintain resilience against cyberattacks without building a full internal SOC (Security Operations Center)."
INFORMATION TECHNOLOGY,SOFTWARE,PROCUREMENT SOFTWARE,"Procurement software streamlines purchasing, vendor management, and contract administration across an organization. It automates workflows such as requisition, approval, sourcing, and invoicing. By centralizing data, procurement platforms improve transparency, compliance, and cost control. Integrated analytics enable spend visibility, supplier performance tracking, and strategic sourcing, ensuring that procurement aligns with business and budget goals."
INFORMATION TECHNOLOGY,SOFTWARE,PROJECT & WORK MGMT SOFTWARE,"Project and work management software helps teams plan, execute, and monitor projects and day-to-day operations. It includes task tracking, resource allocation, time management, and collaboration features. These platforms improve visibility, accountability, and productivity by centralizing workflows and documentation. Integration with other business systems allows organizations to manage complex initiatives efficiently and align work with strategic objectives."
INFORMATION TECHNOLOGY,SOFTWARE,REVENUE LIFECYCLE MGMT,"Revenue lifecycle management encompasses the processes and technologies that govern how organizations capture, recognize, and optimize revenue from customers. It integrates functions like pricing, quoting, billing, collections, and revenue recognition. These systems ensure accuracy, compliance with accounting standards (ASC 606, IFRS 15), and financial visibility. By automating recurring billing, renewals, and contract management, companies can reduce revenue leakage, improve forecasting, and enhance customer satisfaction."
INFORMATION TECHNOLOGY,SOFTWARE,SALES ENABLEMENT & PERFORMANCE,"Sales enablement and performance solutions equip sales teams with tools, content, training, and analytics to improve productivity and conversion rates. These platforms deliver sales playbooks, CRM integration, and performance dashboards that align marketing and sales strategies. By providing real-time insights and personalized coaching, they help sales reps engage effectively with prospects, shorten sales cycles, and achieve revenue targets."
INFORMATION TECHNOLOGY,SOFTWARE,SERVICE & WORK MGMT SOFTWARE,"Service and work management software optimizes field operations, maintenance scheduling, and service delivery. It includes work order management, asset tracking, and technician dispatch tools. These systems provide real-time updates, customer communication, and analytics to improve operational efficiency and satisfaction. Used across industries such as utilities and facilities management, they streamline workflows and support predictive maintenance strategies."
INFORMATION TECHNOLOGY,SOFTWARE,SIEM & SOAR SOLUTIONS,"Security Information and Event Management (SIEM) and Security Orchestration, Automation, and Response (SOAR) solutions provide centralized cybersecurity monitoring and automated response. SIEM collects and analyzes security logs to detect threats, while SOAR automates incident investigation and remediation workflows. Together, they enhance visibility, accelerate response times, and strengthen threat intelligence integration across enterprise environments."
INFORMATION TECHNOLOGY,SOFTWARE,SSL CERTIFICATION,"SSL (Secure Sockets Layer) certification establishes an encrypted connection between a website and its users to secure data transmission. It verifies the website’s identity and protects sensitive information such as passwords, credit card details, and personal data. SSL certificates are issued by trusted Certificate Authorities (CAs) and are essential for HTTPS encryption. They improve trust, compliance, and search engine ranking for websites and online services."
INFORMATION TECHNOLOGY,SOFTWARE,SURVEY SOFTWARE,"Survey software enables organizations to design, distribute, and analyze questionnaires for customer feedback, employee engagement, or market research. These platforms support multiple question types, logic branching, and real-time analytics. Integrations with CRM and analytics tools provide deeper insights into customer sentiment and trends. Survey tools improve decision-making by collecting actionable data quickly and efficiently from diverse audiences."
INFORMATION TECHNOLOGY,SOFTWARE,VIDEO STREAMING & CONTENT DEV,"Video streaming and content development services support the creation, hosting, and distribution of video content across digital channels. They include live streaming, on-demand video, encoding, and content management tools. These platforms enhance viewer engagement and brand reach through analytics, personalization, and monetization options. They are widely used for marketing, education, and entertainment purposes, supporting scalable, high-quality digital experiences."
INFORMATION TECHNOLOGY,SOFTWARE,WORKFORCE COLLABORATION,"Workforce collaboration platforms enable communication and teamwork among distributed employees through tools such as chat, video meetings, file sharing, and task coordination. They integrate with productivity suites and cloud systems to centralize workflows. These platforms enhance transparency, innovation, and engagement across departments, supporting both remote and hybrid work environments while improving operational efficiency and organizational culture."
INFORMATION TECHNOLOGY,TELECOM,NETWORK INFRASTRUCTURE,"Hardware resources of an entire network that enables network connectivity, communication, operations and management Includes wireless access points, routers, firewalls, switches, etc "
INFORMATION TECHNOLOGY,TELECOM,MOBILE DEVICE MANAGEMENT,"Mobile device management (MDM) is software that allows IT administrators to control, secure and enforce policies on smartphones, tablets and other endpoints"
INFORMATION TECHNOLOGY,TELECOM,TELECOM & CONTACT INFRASTRUCTURE,"Includes base stations, PBX equipment for contact centers and even IP telephony and other contact center / collaboration infrastructure"
INFORMATION TECHNOLOGY,TELECOM,TELECOM EXPENSE MANAGEMENT,Telecom inventory and bill payment and management system
INFORMATION TECHNOLOGY,TELECOM,VOICE & DATA SERVICES,"Internet access and the data transmission technologies: dial-up, DSL, cable modem, or dedicated high-speed interconnects. Also includes communication methods such as internet email accounts, voice and streaming television services. The services and service combinations may be unique to each service provider (aka - ISP)."
INFORMATION TECHNOLOGY,TELECOM,WIRELESS,Wireless data and cell phone service providers
MARKETING,AFFILIATE MARKETING,AFFILIATE MARKETING,Commission for promoting the products or services by another firm
MARKETING,AFFILIATE MARKETING,AFFILIATE NETWORKS,A group of associated companies that offer complementary products and will share sales leads with one another
MARKETING,AFFILIATE MARKETING,AFFILIATE PLATFORMS,Connector or intermediary between merchants and marketing affiliates
MARKETING,AFFILIATE MARKETING,AFFILIATES,Companies utilizing third-party marketing services
MARKETING,AGENCIES,ADVERTISING AGENCIES,"Agencies / businesses dedicated to creating, planning, and handling advertising for its clients. This includes both the thinking / ideation behind the ads, as well as the strategic placement of those ads to achieve optimal audience impact and reach."
MARKETING,AGENCIES,CREATIVE AGENCIES,"Conceiving and implementing large-scale marketing concepts for its clients. Creative agencies develop the core idea for a marketing campaign and then create a series of advertisements which address that idea across different media. If an agency is focused on branding specifically, they will help the client develop a brand image/identity and all collateral communication devices needed to establish the brand.  Market research is usually performed to assist with the development of the brand and design services are performed for the development of a visual identity.  Brand services are most commonly used when a company is starting up or an existing business is re-branding."
MARKETING,AGENCIES,EXPERIENTIAL AGENCIES,"Experiential campaigns use an activation (for example product sampling, immersive experiences, etc.) to bring brands to life and interact directly with the target audience."
MARKETING,AGENCIES,PUBLIC RELATIONS AGENCIES,"Maintaining and enhancing a company’s image and the product or services it offers through proactive and reactive communication, media, and in-person engagement. PR firms help clients defend their reputations in crisis. PR is considered a strategy complementary to marketing, and, depending on the organization, may or may not fall within the Marketing function."
MARKETING,AGENCIES,CO-OP ADVERTISING,Sharing of costs for locally placed advertising between a retailer or wholesaler and a manufacturer. These funds are typically distributed as opportunities for collaboration arise.
MARKETING,AGENCIES,EVENTS AGENCIES,"Event agencies specialize in planning, organizing, and executing corporate or public events such as conferences, trade shows, product launches, and celebrations. They manage logistics, creative design, budgeting, and vendor coordination to deliver seamless experiences. Agencies often provide branding, production, and digital integration services, ensuring events align with client goals and brand identity while engaging audiences effectively."
MARKETING,AGENCIES,SOCIAL AGENCY,"A social agency develops and manages social media strategies for brands to enhance visibility, engagement, and community building. Services include content creation, paid campaign management, influencer partnerships, and performance analytics. Social agencies help organizations maintain a consistent online presence, measure ROI, and respond to real-time audience interactions across platforms like Facebook, LinkedIn, Instagram, and TikTok."
MARKETING,AGENCIES,WEB DESIGN,"Web design encompasses the creative and technical process of planning and building websites. It includes layout, user interface (UI), user experience (UX), graphics, and responsive design. Modern web design emphasizes accessibility, speed, and SEO optimization. Designers use tools such as HTML, CSS, and CMS platforms to create visually appealing, functional websites that support branding, engagement, and digital marketing objectives."
MARKETING,EVENTS & CONFERENCES,EVENT EXHIBITS & DISPLAYS,Physical marketing tools used to attract consumer attention and interest
MARKETING,EVENTS & CONFERENCES,EVENT SPACE & RENTALS,"Working with companies that rent and sell various furniture, equipment, and décor required for the execution of an event. This may also include the renting of space at a hotel, banquet hall, or other location for the purpose of hosting an event."
MARKETING,EVENTS & CONFERENCES,EVENTS & CONFERENCES,"Includes all vendors and agencies supporting the execution of an event or conference. This includes event planning agencies who provide strategic guidance and planning for events, and in some cases involves a third party facilitating payment on behalf of the client for goods and services related to the production of the event."
MARKETING,EVENTS & CONFERENCES,EXHIBITOR FEES,Cost to participate in a specific tradeshow; reserves booth space
MARKETING,EVENTS & CONFERENCES,EXHIBITOR SERVICES,"A contractor hired by the conference, event, or trade show coordinator to handle a majority of the essential logistics, including the set up and tear down of the physical aspects of the show, conducting inspections of the show venue and addressing problems, creating show floor layouts, freight loading and unloading, storage, and dock management, supplying equipment, installing and maintaining carpet, providing furniture for offices, lounge areas, etc., hang signs, decorate."
MARKETING,EVENTS & CONFERENCES,SPEAKERS & ENTERTAINMENT,"Individuals invited to present, speak, or host / emcee an event"
MARKETING,MAR TECH,MAR TECH,The systems and tools that help marketers better engage with customers more efficiently and effectively. These products use technology to automate a variety or time-consuming and repetitive tasks that are required to support the marketing function.
MARKETING,MAR TECH,MAR TECH - ADVERTISING & PROMOTIONS,Marketing technology services focused on advertising and promotions
MARKETING,MAR TECH,MAR TECH - COMMERCE & SALES,Marketing technology services focused on commerce and sales
MARKETING,MAR TECH,MAR TECH - CONTENT & EXPERIENCE,Marketing technology services focused on content and experience
MARKETING,MAR TECH,MAR TECH - DATA,Marketing technology services focused on data
MARKETING,MAR TECH,MAR TECH - MANAGEMENT,Marketing technology services focused on management
MARKETING,MAR TECH,MAR TECH - SOCIAL & RELATIONSHIPS,Marketing technology services focused on social and relationships
MARKETING,MARKETING SERVICES,FREELANCERS,Self-employed workers performing contracted labor for a temporary employer
MARKETING,MARKETING SERVICES,INFLUENCER MARKETING,The use of product mentions or endorsements from individuals who have a dedicated social following and are viewed as experts in their niche to promote a product or service.
MARKETING,MARKETING SERVICES,LEAD GENERATION,"Professional services that identify and qualify potential sales prospects through outreach, marketing, or data sourcing."
MARKETING,MARKETING SERVICES,MARKET RESEARCH,Customer/Market databases and industry reports for purchase as well as custom market research
MARKETING,MEDIA BUY,DIGITAL MEDIA BUYING & PLANNING,"Promoting products or services using digital technologies on the Internet, through mobile apps, and any other online medium. Digital tactics include, but are not limited to, Search Engine Marketing, Affiliate Marketing, Website Development & Operations, Influencer Marketing, CRM, Email Marketing, and Content Marketing."
MARKETING,MEDIA BUY,MEDIA BUYING & PLANNING,"Media planning is determining the optimal combination of media to achieve objectives. Media buying is the procurement of media space and time for displaying advertising content, including negotiating with individual media owners (such as broadcasters or publishers) over availability and price. This subcategory includes agencies that support one or both of those functions."
MARKETING,MEDIA PRODUCTION,MEDIA PRODUCTION,"Support development of a photo or video; e.g. the pre-work of planning and preparing the elements involved in the video, as well as the post-production work of editing the video or picture, writing, rerecording, and / or editing the soundtrack, and adding special visual effects."
MARKETING,MEDIA PRODUCTION,SET BUILDING,"Sets and staging used to create the look and feel of photo shoots, videos, etc."
MARKETING,MEDIA PRODUCTION,STOCK MEDIA,Pre-produced images or videos available for purchase
MARKETING,PROMOTIONS,PROMOTIONAL PRODUCTS,Items that are branded with a logo and used in marketing and communication programs
MARKETING,PROMOTIONS,PROMOTIONS & CUSTOMER LOYALTY,"Strategies and items used by companies to influence consumers to buy their products before, during, and while they shop, including coupons (digital and paper), in-store promotions, activations, digital media, and customer loyalty programs / platforms."
MARKETING,PROMOTIONS,SPONSORSHIPS,"Paying for all or some of the costs associated with a project, program, or event in exchange for recognition. Corporations may have their logos and brand names displayed alongside of the organization undertaking the project, program, or event, with specific mention that the corporation has provided funding. Corporate sponsorships are commonly associated with nonprofit groups, sporting events, etc."
MARKETING,WORKING MEDIA,WORKING MEDIA,Purchasing advertising spots directly from a media source or website
MARKETING,WORKING MEDIA,WORKING MEDIA - DISPLAY,"Display media refers to digital advertisements presented on websites, apps, or social platforms in the form of banners, videos, or interactive graphics. It helps brands build awareness and drive traffic through targeted impressions and retargeting campaigns. Managed through programmatic platforms, display media allows advertisers to reach specific audiences at scale using data-driven optimization and real-time bidding."
MARKETING,WORKING MEDIA,WORKING MEDIA - NATIVE ADVERTISING,"Native advertising integrates promotional content seamlessly into editorial or social environments, matching the format and tone of the surrounding content. It provides a non-disruptive experience while promoting brand messages effectively. Native ads often appear as sponsored articles, in-feed posts, or recommendation widgets. This format improves engagement and credibility compared to traditional display ads by aligning with user interests and platform aesthetics."
MARKETING,WORKING MEDIA,WORKING MEDIA - OUTDOOR ADVERTISING,"Outdoor advertising, or out-of-home (OOH) media, includes billboards, transit ads, digital signage, and street furniture displays. It targets audiences in public spaces to increase brand visibility and reinforce campaigns. With advances in digital OOH, advertisers can deliver dynamic, location-based messaging and track performance. Outdoor media offers broad reach and high impact, particularly for local and brand-awareness initiatives."
MARKETING,WORKING MEDIA,WORKING MEDIA - PAID SEARCH,"Paid search, also known as search engine marketing (SEM), involves placing sponsored ads on search engines like Google or Bing. Advertisers bid on keywords to appear alongside search results, driving qualified traffic to their websites. Paid search campaigns are performance-driven, offering measurable ROI through clicks, conversions, and analytics. This channel complements SEO by capturing user intent and accelerating visibility."
MARKETING,WORKING MEDIA,WORKING MEDIA - PAID SOCIAL,"Paid social media involves running sponsored ads across social platforms like Facebook, Instagram, LinkedIn, TikTok, and X (Twitter). These campaigns target audiences based on demographics, interests, and behaviors to increase awareness, engagement, or conversions. Paid social allows for precise targeting, creative testing, and real-time performance analytics. It complements organic content strategies and helps brands reach new audiences efficiently through data-driven advertising."
MARKETING,WORKING MEDIA,WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL),"Advertising in print and digital publications includes placing brand messages in newspapers, magazines, newsletters, or online editorial outlets. This medium provides credibility and audience segmentation through trusted content environments. Digital publications extend reach via sponsored articles and native placements, while print ads support brand visibility in niche markets. Combined, they deliver multi-channel exposure and measurable audience engagement."
MARKETING,WORKING MEDIA,WORKING MEDIA - RADIO ADVERTISING,"Radio advertising uses audio messages broadcast via AM/FM, satellite, or streaming radio to promote products or services. It targets listeners based on geography, demographics, and listening habits. With strong local reach and frequency, radio ads build brand recall and drive action. Digital radio and podcast integrations enhance measurability and engagement, offering advertisers dynamic and cost-effective audience reach."
MARKETING,WORKING MEDIA,WORKING MEDIA - TV ADVERTISING (LINEAR / OTT),"TV advertising includes traditional linear TV spots and digital streaming ads via OTT (Over-The-Top) platforms like Hulu, Roku, or YouTube TV. Linear TV provides broad audience reach, while OTT offers precise targeting, interactivity, and performance analytics. Both formats enhance brand awareness and storytelling through high-impact visuals. Modern campaigns often blend traditional and digital TV buys for maximum effectiveness across screens."
MATERIAL HANDLING EQUIPMENT,CRANES & HOISTS,CRANES & HOISTS,"Cranes and hoists are mechanical lifting devices used to move heavy materials vertically and horizontally in construction, manufacturing, and warehousing. Cranes handle large-scale loads using cables and pulleys, while hoists lift items along fixed paths. These systems improve safety, efficiency, and load control. Providers may offer installation, inspection, and maintenance services to ensure compliance with safety standards and operational reliability."
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCK BATTERIES,Batteries for lift trucks and fork lifts
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCK PARTS,Component parts necessary to operate and maintain a lift truck
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCKS,Powered industrial truck utilized to lift and move heavy materials over short distances
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCK ACCESSORIES,"Lift truck accessories include attachments and add-ons that enhance the functionality of forklifts and other material-handling vehicles. Examples include fork extensions, clamps, safety lights, and load backrests. These accessories improve productivity, safety, and versatility in warehouse and industrial environments. Vendors often provide customization, compatibility guidance, and installation services to ensure optimal performance and operator safety."
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCK MAINTENANCE & REPAIR,"Lift truck maintenance and repair services involve the inspection, servicing, and mechanical repair of forklifts and related equipment. These include hydraulic system checks, tire replacement, and battery maintenance. Preventive programs minimize downtime, extend vehicle life, and ensure compliance with OSHA safety regulations. Providers may offer on-site or scheduled maintenance plans to support continuous, safe material-handling operations."
MATERIAL HANDLING EQUIPMENT,LIFT TRUCK EQUIPMENT,LIFT TRUCK TIRES,"Lift truck tires are specialized industrial tires designed to support the heavy loads and operating conditions of forklifts. They come in solid, pneumatic, and cushion types to match different surfaces and applications. Proper tire selection and maintenance improve traction, stability, and fuel efficiency. Suppliers often provide mounting, balancing, and inspection services to ensure safety and longevity under demanding conditions."
MATERIAL HANDLING EQUIPMENT,NON-MOTORIZED MTL HANDLING,NON-MOTORIZED MTL HANDLING,"Non-motorized material handling equipment includes manual tools like pallet jacks, carts, dollies, and hand trucks used to move goods without powered assistance. These tools improve ergonomics, efficiency, and safety in warehouses and factories. They are ideal for short-distance transport, loading, and order picking. Durable construction and ergonomic design are key features, reducing operator strain and product damage."
MRO,INDUSTRIAL SUPPLIES,BUILDING MATERIALS,"Building supply suppliers are engaged in receiving and storage of bulk quantities of building and construction supplies and materials, and distribution and delivery of such materials to other wholesale or retail establishments. Building and construction materials include but are not limited to the following: appliances, building materials, doors and windows, electrical supplies, hand and power tools, hardware, home improvement items, kitchen cabinets, lumber, paint, plumbing supplies, and similar items."
MRO,INDUSTRIAL SUPPLIES,CALIBRATION,Services focused on configuring machinery and appliances
MRO,INDUSTRIAL SUPPLIES,CONTROL & AUTOMATION,"Advanced Process Controls, Condition Monitoring & I/O, Design and Operations Software, Distributed Control Systems, Drives, Drive Systems, Human Machine Interface, Industrial Control Products, Industrial Network Products, Industrial Sensors, Manufacturing Execution System, Motion Controls, Motor Control Centers, Programmable Controllers, Safety Components, Safety Instrumented Systems"
MRO,INDUSTRIAL SUPPLIES,CUTTING TOOLS & ABRASIVES,"Cutting Tools - turning, milling, hole making, threading, tooling systems. Abrasives - Coated Belts, Segments, Super Abrasive Wheels, Grinding Wheels, Rubber Regulated Wheels, Honing Stones, Dressing Tools and Wheels"
MRO,INDUSTRIAL SUPPLIES,DURABLE TOOLING,Dies/molds
MRO,INDUSTRIAL SUPPLIES,ELECTRICAL SUPPLIES,"Lighting/Lamps, conduit, wire, switches, breakers, boxes, electrical receptacles"
MRO,INDUSTRIAL SUPPLIES,ELECTRONICS,"Transistors, capacitors, amplifiers, resistors, semi conductors, passive components, wireless modules and connectors, optoelectronics, sensors and transducers, "
MRO,INDUSTRIAL SUPPLIES,FASTENERS,Hardware device utilized to join or affix two objects together
MRO,INDUSTRIAL SUPPLIES,FLUID POWER & PNEUMATICS,"Fluid power is the use of fluids under pressure to generate, control, and transmit power such as hydraulic - cylinders, pistons, filters, controls, sensors, manifolds, meters and pumps Fluid power is subdivided into hydraulics using a liquid such as mineral oil or water, and pneumatics using a gas such as air or other gases such as pneumatic -  cylinders, pistons, filters, controls, sensors, manifolds, meters and pumps"
MRO,INDUSTRIAL SUPPLIES,GENERAL INDUSTRIAL SUPPLIES,"Safety supplies, hand tools, power tools, janitorial and sanitation supplies, material handling, "
MRO,INDUSTRIAL SUPPLIES,HOSE & ACCESSORIES,Hose and accessories
MRO,INDUSTRIAL SUPPLIES,HVAC & PLUMBING SUPPLIES,Materials associated with the installation and maintenance of HVAC and plumbing systems
MRO,INDUSTRIAL SUPPLIES,INDUSTRIAL GASES,Medical or non-medical gases; can also be welding gases
MRO,INDUSTRIAL SUPPLIES,PROPANE,Purchase of propane for facilities
MRO,INDUSTRIAL SUPPLIES,INDUSTRIAL PVF,Industrial Pipes Valves and Fittings
MRO,INDUSTRIAL SUPPLIES,JANITORIAL SUPPLIES,"Cleaning supplies such as mops, cleaning chemicals, brooms, hand cleaners, paper roll towels, bathroom supplies, soaps, toilet supplies"
MRO,INDUSTRIAL SUPPLIES,LIGHTING,Lightbulbs and industrial lighting solutions for a facility
MRO,INDUSTRIAL SUPPLIES,LUBRICANTS & OILS,Lubricants & Oils
MRO,INDUSTRIAL SUPPLIES,OEM PARTS / SPARES,Parts that are very specific to a production piece of equipment
MRO,INDUSTRIAL SUPPLIES,POWER TRANSMISSION & BEARINGS,"Actuators, Adjustable Speed Drives, Bearings, Belting & Belt Drives, Brakes, Chain & Chain Drives, Clutches, Controls, Couplings & U-Joints, Fluid Power, Gear Drives, Gear Manufacturing Services, Gears, Industrial Hardware and Machine Parts, Linear Motion Devices, Lubrication, Motors, Seals, Sensors"
MRO,INDUSTRIAL SUPPLIES,RACKING & SHELVING,Purchase of racking and shelving for facilities
